date_releve,marque,nb_total,nb_electrique,proportion_electrique
2026-07-17T09:37:29,Abarth,6,3,0.5
2026-07-17T09:37:29,Alfa Romeo,18,0,0.0
2026-07-17T09:37:29,Alpine,44,15,0.3409
2026-07-17T09:37:29,Aston Martin,1,0,0.0
2026-07-17T09:37:29,Audi,304,29,0.0954
2026-07-17T09:37:29,Bmw,766,89,0.1162
2026-07-17T09:37:29,Byd,9,7,0.7778
2026-07-17T09:37:29,Citroen,1469,74,0.0504
2026-07-17T09:37:29,Cupra,35,3,0.0857
2026-07-17T09:37:29,Dacia,1368,163,0.1192
2026-07-17T09:37:29,Ds,329,31,0.0942
2026-07-17T09:37:29,Fiat,122,25,0.2049
2026-07-17T09:37:29,Ford,407,49,0.1204
2026-07-17T09:37:29,Honda,6,0,0.0
2026-07-17T09:37:29,Hyundai,120,2,0.0167
2026-07-17T09:37:29,Isuzu,1,0,0.0
2026-07-17T09:37:29,Iveco,1,0,0.0
2026-07-17T09:37:29,Jaguar,15,2,0.1333
2026-07-17T09:37:29,Jeep,30,0,0.0
2026-07-17T09:37:29,Kia,152,10,0.0658
2026-07-17T09:37:29,Land-Rover,83,0,0.0
2026-07-17T09:37:29,Leapmotor,8,4,0.5
2026-07-17T09:37:29,Lexus,75,4,0.0533
2026-07-17T09:37:29,Man,1,0,0.0
2026-07-17T09:37:29,Maserati,9,3,0.3333
2026-07-17T09:37:29,Mazda,25,0,0.0
2026-07-17T09:37:29,Mercedes,792,118,0.149
2026-07-17T09:37:29,Mg,61,26,0.4262
2026-07-17T09:37:29,Mini,291,53,0.1821
2026-07-17T09:37:29,Mitsubishi,120,0,0.0
2026-07-17T09:37:29,Mobilize,3,3,1.0
2026-07-17T09:37:29,Nissan,613,29,0.0473
2026-07-17T09:37:29,Opel,192,16,0.0833
2026-07-17T09:37:29,Peugeot,2840,297,0.1046
2026-07-17T09:37:29,Porsche,41,11,0.2683
2026-07-17T09:37:29,Renault,4294,387,0.0901
2026-07-17T09:37:29,Seat,115,0,0.0
2026-07-17T09:37:29,Skoda,105,3,0.0286
2026-07-17T09:37:29,Smart,7,7,1.0
2026-07-17T09:37:29,Subaru,2,1,0.5
2026-07-17T09:37:29,Suzuki,75,3,0.04
2026-07-17T09:37:29,Tesla,1,1,1.0
2026-07-17T09:37:29,Toyota,563,12,0.0213
2026-07-17T09:37:29,Volkswagen,555,38,0.0685
2026-07-17T09:37:29,Volvo,160,51,0.3187
2026-07-17T09:14:44,Abarth,6,3,0.5
2026-07-17T09:14:44,Alfa Romeo,18,0,0.0
2026-07-17T09:14:44,Alpine,44,15,0.3409
2026-07-17T09:14:44,Aston Martin,1,0,0.0
2026-07-17T09:14:44,Audi,310,29,0.0935
2026-07-17T09:14:44,Bmw,771,90,0.1167
2026-07-17T09:14:44,Byd,9,7,0.7778
2026-07-17T09:14:44,Citroen,1475,74,0.0502
2026-07-17T09:14:44,Cupra,35,3,0.0857
2026-07-17T09:14:44,Dacia,1382,163,0.1179
2026-07-17T09:14:44,Ds,329,31,0.0942
2026-07-17T09:14:44,Fiat,122,25,0.2049
2026-07-17T09:14:44,Ford,408,49,0.1201
2026-07-17T09:14:44,Honda,6,0,0.0
2026-07-17T09:14:44,Hyundai,121,2,0.0165
2026-07-17T09:14:44,Isuzu,1,0,0.0
2026-07-17T09:14:44,Iveco,1,0,0.0
2026-07-17T09:14:44,Jaguar,15,2,0.1333
2026-07-17T09:14:44,Jeep,30,0,0.0
2026-07-17T09:14:44,Kia,153,10,0.0654
2026-07-17T09:14:44,Land-Rover,83,0,0.0
2026-07-17T09:14:44,Leapmotor,8,4,0.5
2026-07-17T09:14:44,Lexus,76,4,0.0526
2026-07-17T09:14:44,Man,1,0,0.0
2026-07-17T09:14:44,Maserati,9,3,0.3333
2026-07-17T09:14:44,Mazda,25,0,0.0
2026-07-17T09:14:44,Mercedes,794,118,0.1486
2026-07-17T09:14:44,Mg,63,27,0.4286
2026-07-17T09:14:44,Mini,291,53,0.1821
2026-07-17T09:14:44,Mitsubishi,121,0,0.0
2026-07-17T09:14:44,Mobilize,3,3,1.0
2026-07-17T09:14:44,Nissan,617,29,0.047
2026-07-17T09:14:44,Opel,192,16,0.0833
2026-07-17T09:14:44,Peugeot,2848,298,0.1046
2026-07-17T09:14:44,Porsche,41,11,0.2683
2026-07-17T09:14:44,Renault,4316,389,0.0901
2026-07-17T09:14:44,Seat,115,0,0.0
2026-07-17T09:14:44,Skoda,105,3,0.0286
2026-07-17T09:14:44,Smart,7,7,1.0
2026-07-17T09:14:44,Subaru,2,1,0.5
2026-07-17T09:14:44,Suzuki,75,3,0.04
2026-07-17T09:14:44,Tesla,1,1,1.0
2026-07-17T09:14:44,Toyota,564,12,0.0213
2026-07-17T09:14:44,Volkswagen,557,38,0.0682
2026-07-17T09:14:44,Volvo,160,51,0.3187
2026-07-17T10:48:07,Abarth,6,3,0.5
2026-07-17T10:48:07,Alfa Romeo,18,0,0.0
2026-07-17T10:48:07,Alpine,44,15,0.3409
2026-07-17T10:48:07,Aston Martin,1,0,0.0
2026-07-17T10:48:07,Audi,310,29,0.0935
2026-07-17T10:48:07,Bmw,771,90,0.1167
2026-07-17T10:48:07,Byd,9,7,0.7778
